country,year,under5_mortality_per_1000,electricity_access_pct,net_enrollment_primary_pct
Ghana,2002,91.74712570666668,48.699999999999996,59.89725
Ghana,2003,88.14201923666667,49.73333333333333,59.57402
Ghana,2004,84.84595775666666,52.06666666666666,
Ghana,2005,81.89645486,42.53333333333333,63.70558
Ghana,2006,79.02020957666666,55.73333333333334,62.81248
Ghana,2007,76.05292775333334,57.333333333333336,68.15086
Ghana,2008,72.94603171,60.699999999999996,73.32313
Ghana,2009,69.70128927,61.06666666666666,72.36103
Ghana,2010,66.41267610666667,64.13333333333334,
Ghana,2011,63.20093076,63.699999999999996,80.58882
Ghana,2012,60.15512562,55.63333333333333,79.38927
Ghana,2013,57.377503363333325,70.0,84.93016
Ghana,2014,54.81884979,77.7,86.99201
Ghana,2015,52.453183923333334,73.13333333333334,89.28957
Ghana,2016,50.238228033333336,78.56666666666666,86.38027
Ghana,2017,48.11141432333333,78.10000000000001,85.1822
Ghana,2018,46.03305845333333,79.53333333333335,84.48045
Ghana,2019,44.008453593333336,82.43333333333334,86.15823
Ghana,2020,42.04776785,84.36666666666666,
Ghana,2021,40.234198310000004,85.16666666666667,
Ghana,2022,38.5780373,83.89999999999999,
Ghana,2023,37.13167378333333,88.26666666666667,
India,2000,91.84073685666665,66.3,79.50755
India,2001,88.21601928666666,67.7,79.37586
India,2002,84.66294816333334,68.0,78.99802
India,2003,81.17770852666666,70.5,83.57377
India,2004,77.75657241333333,69.7,
India,2005,74.41285833666667,73.33333333333333,
India,2006,71.08652909666667,72.76666666666667,
India,2007,67.80582643000001,76.26666666666667,91.12498
India,2008,64.52391958666666,77.8,90.8729
India,2009,61.29203501333333,78.93333333333334,90.65366
India,2010,58.123686969999994,79.56666666666666,90.95531
India,2011,55.01709830000001,82.39999999999999,90.37191
India,2012,52.00927541000001,82.8,91.57155
India,2013,49.12005390666667,85.5,92.25734
India,2014,46.36327587666667,87.2,
India,2015,43.76448078333333,89.63333333333333,
India,2016,41.32421664666666,91.03333333333335,
India,2017,39.02591727,92.93333333333334,
India,2018,36.874642963333336,96.23333333333333,
India,2019,34.86753779666667,96.5,
India,2020,32.97987784,96.89999999999999,
India,2021,31.201502636666664,99.63333333333333,
India,2022,29.542452466666663,99.43333333333334,
India,2023,27.99131905333333,99.56666666666666,
Nigeria,2000,177.13835413333334,49.5,65.08852
Nigeria,2001,170.40971146666666,49.833333333333336,
Nigeria,2002,163.7463594,50.166666666666664,
Nigeria,2003,157.28469433333333,56.6,
Nigeria,2004,151.25169026666666,50.9,66.39932
Nigeria,2005,145.7379221,51.23333333333333,66.85314
Nigeria,2006,140.72467316666666,51.666666666666664,67.3432
Nigeria,2007,136.3219504,53.866666666666674,70.31079
Nigeria,2008,132.46062493333332,53.56666666666666,63.39998
Nigeria,2009,129.11461953333333,52.9,64.34126
Nigeria,2010,126.21932413333333,50.43333333333334,64.13783
Nigeria,2011,123.6974826,58.0,
Nigeria,2012,121.54470946666667,54.833333333333336,
Nigeria,2013,119.83887750000001,56.93333333333334,
Nigeria,2014,118.57026636666667,55.333333333333336,
Nigeria,2015,117.72015586666667,53.300000000000004,
Nigeria,2016,117.25539793333333,59.76666666666667,
Nigeria,2017,117.07485246666666,54.6,
Nigeria,2018,117.09051663333332,56.4,
Nigeria,2019,117.2213267,54.93333333333334,
Nigeria,2020,117.30420409999999,54.63333333333333,
Nigeria,2021,117.40686243333333,58.333333333333336,
Nigeria,2022,117.30654046666666,58.833333333333336,
Nigeria,2023,116.73631856666667,59.699999999999996,
Rwanda,2000,184.03213330000003,22.55,
Rwanda,2001,166.45308306666666,20.3,
Rwanda,2002,148.95982403333335,22.1,81.17581
Rwanda,2003,132.61928386666668,16.166666666666668,85.50278
Rwanda,2004,117.41625786666667,17.8,
Rwanda,2005,104.35038760333333,10.200000000000001,
Rwanda,2006,93.27288243,21.0,
Rwanda,2007,84.02767963666668,22.666666666666668,
Rwanda,2008,75.93424356666667,11.866666666666667,
Rwanda,2009,69.04656494666666,26.03333333333333,
Rwanda,2010,63.21365559,18.933333333333334,
Rwanda,2011,58.00046700666667,23.36666666666667,
Rwanda,2012,54.21330032,30.799999999999997,
Rwanda,2013,51.35382422,27.5,
Rwanda,2014,49.09302482333334,33.6,
Rwanda,2015,47.212470200000006,36.06666666666667,
Rwanda,2016,45.71076426333334,42.800000000000004,98.84059
Rwanda,2017,44.61122821666667,47.5,96.9315
Rwanda,2018,43.61299814,50.6,94.78978
Rwanda,2019,42.602889346666664,57.1,
Rwanda,2020,41.527856273333335,58.0,
Rwanda,2021,40.506138969999995,61.63333333333333,
Rwanda,2022,39.620128576666666,62.26666666666667,
Rwanda,2023,38.73326851666667,73.89999999999999,
